Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
KIRC	840	9.2266e-05	37.572	40.704	-0.115512661424529	0.000179836283747277	CASP7
KIRC	79949	0.015979	1	1	0	0.0250832617911286	PLEKHS1
KIRC	100616162	0.085429	1	1	0	0.116371582556794	MIR4483
KIRC	9937	1.4413e-18	8.862	13.268	-0.582246685302077	7.03845323144105e-18	DCLRE1A
KIRC	374354	5.6981e-13	10.254	15.18	-0.565984987905533	1.94066856403228e-12	NHLRC2
KIRC	153	0.0042822	1	2.013	-1.00934717225925	0.00721202448795181	ADRB1
KIRC	55088	1e-20	9.971	26.886	-1.43104502622964	5.66341093670886e-20	CCDC186
KIRC	56165	0.0063258	1	1	0	0.0104647073076923	TDRD1
KIRC	340706	4.1945e-11	1	3.133	-1.64754476970897	1.26724553559368e-10	VWA2
KIRC	84632	8.5901e-14	19.318	61.938	-1.68087905949961	3.08686016388175e-13	AFAP1L2
KIRC	3983	1e-20	62.266	136.481	-1.13218361464337	5.66341093670886e-20	ABLIM1
KIRC	101927692	0.31108	1	1	0	0.345689000437765	AL137025.1
KIRC	57700	0.0081758	24.393	23.198	0.0724667707564621	0.0133367327547225	FAM160B1
KIRC	142940	1e-20	19.178	33.548	-0.806774486103985	5.66341093670886e-20	TRUB1
KIRC	102724589	0.092185	1	1	0	0.124490382200217	LINC02626
KIRC	26033	6.9184e-13	1	5.504	-2.46048047004001	2.34485428701318e-12	ATRNL1
KIRC	2674	0.50232	5.188	11.052	-1.09105708256079	0.529423171386834	GFRA1
KIRC	119548	0.95544	1	1	0	0.959041874158514	PNLIPRP3
KIRC	5406	0.37191	1	1	0	0.400411045537691	PNLIP
KIRC	5407	0.22944	1	1	0	0.277446747404844	PNLIPRP1
KIRC	143379	8.7215e-10	1	3.03	-1.59931779369823	2.41118750309023e-09	C10orf82
KIRC	259217	2.3424e-17	21.384	41.535	-0.957795811732371	1.05646538415003e-16	HSPA12A
KIRC	387712	0.77352	1	1	0	0.790123690171721	ENO4
KIRC	57698	5.7761e-19	20.685	33.147	-0.680293346219552	2.90049960933992e-18	SHTN1
KIRC	11023	0.23849	1	1	0	0.286746980969788	VAX1
KIRC	101927704	0.31776	1	1	0	0.345689000437765	MIR3663HG
KIRC	100500893	0.31776	1	1	0	0.345689000437765	MIR3663
KIRC	6571	0.078748	1	1	0	0.108087006320957	SLC18A2
KIRC	118987	1.5319e-08	15.815	22.493	-0.50818253729604	3.8974491411671e-08	PDZD8
KIRC	196047	1e-20	28.447	62.025	-1.1245733151371	5.66341093670886e-20	EMX2OS
KIRC	2018	1e-20	51.263	90.241	-0.815865144834863	5.66341093670886e-20	EMX2
KIRC	22841	5.7728e-13	12.419	23.224	-0.903067467216364	1.96521224961948e-12	RAB11FIP2
KIRC	255082	1e-20	3.503	9.162	-1.38707157471594	5.66341093670886e-20	CASC2
KIRC	63877	0.019064	7.143	7.576	-0.0849062094768947	0.0295874973284297	FAM204A
KIRC	100506126	0.015974	1	1	0	0.0250771730188812	LINC00867
KIRC	2834	0.31776	1	1	0	0.345689000437765	PRLHR
