Cancer type	NCBI gene id	FDR adjusted p-value	Cancer Sample Med	Normal Sample Med	log2 fold change	p-value	Gene symbol
LUAD	57453	0.75759	1	1	0	0.775759629221227	DSCAML1
LUAD	486	3.1629e-05	1	1	0	6.39495167377302e-05	FXYD2
LUAD	53826	1e-20	7.382	29.291	-1.98837380522968	5.48805712878601e-20	FXYD6
LUAD	84000	1e-20	24.502	12.896	0.925975866466355	5.48805712878601e-20	TMPRSS13
LUAD	3587	2.7595e-06	21.131	33.16	-0.650082964080288	6.08559039184643e-06	IL10RA
LUAD	56649	1e-20	40.147	1.148	5.12809763870284	5.48805712878601e-20	TMPRSS4
LUAD	6330	5.683e-16	2.527	20.846	-3.04427301169493	2.36653626681614e-15	SCN4B
LUAD	6327	2.08e-08	1	2.422	-1.27619886503224	5.34251008413046e-08	SCN2B
LUAD	120425	3.7891e-16	30.312	104.029	-1.77902481217972	1.59606259119259e-15	JAML
LUAD	196264	1.0373e-06	22.638	16.978	0.415079985843743	2.36335157432018e-06	MPZL3
LUAD	10205	1e-20	211.928	151.528	0.483989803897383	5.48805712878601e-20	MPZL2
LUAD	916	0.10012	35.673	34.616	0.0433935216712126	0.125372201370941	CD3E
LUAD	915	2.5075e-05	29.047	22.455	0.371352446379127	5.11576826254119e-05	CD3D
LUAD	917	0.04572	4.82	5.153	-0.0963794460357047	0.0610485674914625	CD3G
LUAD	9354	2.2646e-07	15.687	14.036	0.160437623165831	5.43694282020898e-07	UBE4A
LUAD	10632	0.31699	38.757	42.197	-0.122683531299349	0.342999812079237	ATP5MG
LUAD	4297	0.023108	11.672	12.057	-0.0468191948620104	0.0324680365653764	KMT2A
LUAD	101929089	0.00054981	1.398	1.627	-0.218849890297092	0.0009802892376	AP001267.3
LUAD	143941	3.7121e-07	1	1	0	8.76486626761309e-07	TTC36
LUAD	84866	3.7083e-07	27.948	24.503	0.189786650433931	8.75682158296249e-07	TMEM25
LUAD	56912	0.093805	32.195	34.681	-0.107308848186935	0.118261796300486	IFT46
LUAD	372	1e-20	148.305	107.91	0.458738672765999	5.48805712878601e-20	ARCN1
LUAD	23187	0.2846	27.412	33.59	-0.293224203460562	0.321083515893906	PHLDB1
LUAD	11181	3.9926e-08	1	1	0	1.00670976581061e-07	TREH
LUAD	1656	0.00037197	66.428	64.087	0.0517597418048651	0.000677960041707556	DDX6
LUAD	643	0.41708	1	1	0	0.443422313600153	CXCR5
LUAD	283149	6.4255e-09	29.118	22.061	0.400413077801599	1.70868772819473e-08	BCL9L
LUAD	7379	0.0062818	1	1	0	0.00963076815023733	UPK2
LUAD	283150	0.26436	1	1	0	0.300601597959184	FOXR1
LUAD	6230	2.3479e-08	2099.891	1721.999	0.286230138272831	6.00845645883569e-08	RPS25
LUAD	51399	1.2868e-18	71.163	56.247	0.339351180662767	6.26450668414155e-18	TRAPPC4
LUAD	2542	1e-20	28.852	15.632	0.884168956506341	5.48805712878601e-20	SLC37A4
LUAD	10525	1e-20	114.494	56.516	1.01854073098972	5.48805712878601e-20	HYOU1
LUAD	55823	0.97001	44.651	47.122	-0.0777082866188811	0.972191072087062	VPS11
LUAD	3145	1e-20	50.1	21.496	1.22074237695677	5.48805712878601e-20	HMBS
LUAD	1798	1e-20	69.39	42.76	0.698465913636856	5.48805712878601e-20	DPAGT1
LUAD	9854	0.85017	11.299	12.281	-0.12023294437094	0.861966099081066	C2CD2L
LUAD	25988	1e-20	16.815	11.605	0.535002256182101	5.48805712878601e-20	HINFP
LUAD	64137	0.11433	1	1	0	0.141520283810053	ABCG4
LUAD	79671	0.40899	16.612	16.731	-0.0102978999369992	0.435402919990447	NLRX1
LUAD	79849	0.18197	1	1	0	0.215103712209611	PDZD3
LUAD	283152	0.0038017	3.686	6.248	-0.761338382511266	0.00599932648162572	CCDC153
LUAD	867	0.022004	8.754	11.587	-0.404492796204881	0.0310342455385394	CBL
LUAD	4162	9.2374e-06	61.379	107.451	-0.807861862959629	1.95030251799924e-05	AP002956.1
LUAD	79102	5.9926e-20	29.906	23.876	0.324873800501268	3.15439480869154e-19	RNF26
LUAD	9099	6.1234e-05	2.159	4.925	-1.1897604812086	0.000120803944232982	USP2
LUAD	7070	1e-20	28.836	8.072	1.83687297474467	5.48805712878601e-20	THY1
LUAD	5818	1e-20	34.564	13.77	1.32774162695883	5.48805712878601e-20	NECTIN1
LUAD	102724301	3.2927e-19	1	1	0	1.66329113553944e-18	AP003390.1
LUAD	23650	0.00025678	5.848	10.066	-0.783475286544465	0.000476626622803365	TRIM29
LUAD	220323	0.00021533	17.898	14.922	0.262357470118306	0.000402977555630196	OAF
LUAD	25833	3.5268e-06	4.909	3.829	0.358461506515888	7.70001876959248e-06	POU2F3
LUAD	649133	0.052141	1	1	0	0.0690350185350205	AP001150.1
LUAD	219902	0.13093	4.139	5.05	-0.287001139296229	0.160182077729593	TMEM136
LUAD	23365	0.068244	52.165	68.851	-0.400395450289943	0.0885665887148431	ARHGEF12
LUAD	2900	1.4749e-11	1	1.798	-0.84639302085236	4.67583162162162e-11	GRIK4
LUAD	219899	1.9872e-11	9.375	14.961	-0.674316013228303	6.24136505073281e-11	TBCEL
LUAD	7007	0.04987	1	1	0	0.0662130757774336	TECTA
LUAD	6309	4.2782e-09	27.739	26.75	0.0523768874582796	1.15238389412618e-08	SC5D
LUAD	6653	1e-20	25.62	18.417	0.476232400005515	5.48805712878601e-20	SORL1
LUAD	399959	0.0065947	8.466	10.679	-0.335024163126626	0.0100689236760978	MIR100HG
LUAD	406911	8.9727e-05	1	1	0	0.000174284961565278	MIR125B1
LUAD	414899	0.091729	1	1	0	0.115926522426992	BLID
LUAD	406882	0.014346	1	1	0	0.0208333421515606	MIRLET7A2
LUAD	406892	0.077485	1	1	0	0.099441909190372	MIR100
LUAD	84959	9.0601e-16	4.308	13.732	-1.67245160741305	3.72825791543575e-15	UBASH3B
LUAD	56253	3.8978e-09	1.832	4.337	-1.24327793976616	1.05399500849308e-08	CRTAM
LUAD	79864	5.6413e-08	1.981	3.331	-0.749726473784865	1.40855537866906e-07	JHY
LUAD	390259	0.31776	1	1	0	0.342999812079237	BSX
LUAD	3312	1.0996e-15	1327.774	1068.541	0.31336734152724	4.50244078633107e-15	HSPA8
LUAD	85391	1.88e-19	5.236	1.268	2.04591035180583	9.62544452101999e-19	SNORD14E
LUAD	79827	7.1158e-05	6.89	7.542	-0.13044316755001	0.000139530032201302	CLMP
LUAD	57476	8.7588e-10	1.936	2.07	-0.0965518151120929	2.47097943797468e-09	GRAMD1B
LUAD	100616319	0.045109	1	1	0	0.0603049776858017	MIR4493
LUAD	55800	0.1082	1	1	0	0.134560203113666	SCN3B
LUAD	7753	1e-20	7.278	5.611	0.375284138371586	5.48805712878601e-20	ZNF202
LUAD	390261	0.19867	1	1	0	0.232501485507246	OR6M1
LUAD	338661	0.28329	1	1	0	0.319837247353224	TMEM225
LUAD	338662	0.31776	1	1	0	0.342999812079237	OR8D4
LUAD	219875	0.31776	1	1	0	0.342999812079237	OR4D5
LUAD	219874	0.48773	1	1	0	0.513852628817245	OR6T1
LUAD	390264	0.31776	1	1	0	0.342999812079237	OR10G4
LUAD	4013	0.00089848	30.812	36.736	-0.253702216698512	0.00155264199116074	VWA5A
LUAD	26494	0.12782	1	1	0	0.156686889610032	OR8G1
LUAD	219865	0.11027	1	1	0	0.136859580664922	OR8G5
LUAD	26595	0.31776	1	1	0	0.342999812079237	OR8B2
LUAD	219858	0.31776	1	1	0	0.342999812079237	OR8B12
LUAD	390275	0.0069772	1	1	0	0.0106114955916473	OR8A1
LUAD	116337	0.046297	1	1	0	0.0617709075071839	PANX3
LUAD	84897	0.80012	13.7	14.389	-0.0707904386303101	0.815301501463058	TBRG1
LUAD	54414	0.16353	20.133	22.171	-0.139111679986877	0.195861624570077	SIAE
LUAD	53340	0.0091561	2.423	3.181	-0.392685967088167	0.0136844152829936	SPA17
LUAD	4900	9.5784e-13	28.245	123.349	-2.12667861385787	3.28370713428703e-12	NRGN
LUAD	23584	1e-20	25.42	137.917	-2.43976436261521	5.48805712878601e-20	VSIG2
LUAD	90952	1e-20	48.322	229.284	-2.24638361089347	5.48805712878601e-20	ESAM
LUAD	101929340	1.1974e-19	1.717	6.092	-1.82702590248516	6.20903997208004e-19	AP000866.2
LUAD	79684	2.3229e-05	10.634	10.063	0.0796239033770079	4.75176432308398e-05	MSANTD2
LUAD	100507283	9.1887e-05	2.461	4.027	-0.710460814487594	0.000178278538260642	AP000866.1
LUAD	64221	0.0007281	4.557	8.405	-0.88316344890029	0.00127521922986248	ROBO3
LUAD	54538	1.5972e-18	8.328	63.732	-2.93597596151456	7.72499921875e-18	ROBO4
LUAD	80071	1e-20	1.579	1.088	0.537332614609897	5.48805712878601e-20	CCDC15
LUAD	219855	0.042479	9.48	11.623	-0.294023525032596	0.0570422047960475	SLC37A2
LUAD	219854	0.11239	10.001	11.029	-0.141157725334164	0.139304595406262	TMEM218
LUAD	63876	2.2106e-17	1.794	11.964	-2.73744802020009	1.00076461913467e-16	PKNOX2
